description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                This gritty, unflinching film centers on Richard Dadier, a war vet who gets a job teaching in a tough inner-city school. An idealist, he honestly believes he can make a difference with the kids, but unfortunately, he gets no support from the rest of the faculty.
            ","NR
                    ",Richard Brooks,NA,NA,Richard Brooks,NA,NA,NA,"Mar 25, 1955
                        ","May 10, 2005
                        ","
                            88 minutes
                        ","
                        MGM Home Entertainment
                    ","
                Glenn Ford
            ","
                Anne Francis
            ","
                Louis Calhern
            ","
                Sidney Poitier
            ","
                Margaret Hayes
            ","
                John Hoyt
            ","
                                Blackboard Jungle
                            ",1955,No consensus yet.,"
                        
                        Classics, 
                        
                        Drama
                        
                    ",76,25,77,3,133951,7.42,0,5,3.77,350,104,462,https://www.rottentomatoes.com/m/blackboard_jungle
"
                This adaptation of Edgar Allen Poe's terrifying gothic tale of the last members of the ancient race of the Ushers features the work of Roger Corman and Vincent Price.
            ","G
                    ",Roger Corman,NA,NA,Richard Matheson,NA,NA,NA,"May 22, 1960
                        ","Jun 5, 2001
                        ","
                            85 minutes
                        ","
                        MGM Home Entertainment
                    ","
                Vincent Price
            ","
                Mark Damon
            ","
                Myrna Fahey
            ","
                Harry Ellerbe
            ","
                Bill Borzage
            ","
                Mike Jordan
            ","
                                The Fall of the House of Usher
                            ",1960,"Scary, strange, and maybe a little silly, House of Usher represents an early high mark for Vincent Price and a career triumph for director Roger Corman.","
                        
                        Classics, 
                        
                        Cult Movies, 
                        
                        Horror
                        
                    ",90,30,73,8,134577,7.1,7.5,4,3.72,780,283,1429,https://www.rottentomatoes.com/m/the_fall_of_the_house_of_usher_1960
"
                Filmed on locations ranging from Denmark to the Universal backlot, Alfred Hitchcock's Topaz is based on a novel by Leon Uris. Frederick Stafford, a veteran of European-filmed James Bond rip-offs of the 1960s, is cast as Andre Devereaux, a French secret agent assigned to snoop around Cuba in the months prior to the 1962 missile crisis. Someone is supplying Castro -- and, by extension, Moscow -- with NATO secrets; it is up to Devereaux to liquidate the ""mole."" Aiding Devereaux is CIA agent Nordstrom (John Forsythe) and aristocratic anti-Castro Cuban Juanita (Karin Dor), who happens to be the girlfriend of pro-Castroite Rico Parra (John Vernon). The director seems to be in awe of the fact-based storyline, and as a result, the film is more cut-and-dried than most Hitchcock efforts. Three different endings were filmed for Topaz; the Laserdisc version carries all three, as does the print available to the American Movie Classics cable service. According to the MPAA, the film was originally rated M but later changed to PG; however, a number of home-video issues of Topaz officially list it as ""Not Rated.""
            ","PG (violence)
                    ",Alfred Hitchcock,NA,NA,Samuel Taylor,NA,NA,NA,"Dec 19, 1969
                        ","Mar 6, 2001
                        ","
                            127 minutes
                        ","
                        Universal Pictures
                    ","
                Frederick Stafford
            ","
                John Forsythe
            ","
                Dany Robin
            ","
                John Vernon
            ","
                Karin Dor
            ","
                Michel Piccoli
            ","
                                Topaz
                            ",1969,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Classics, 
                        
                        Mystery & Suspense
                        
                    ",70,30,36,6,132972,6.17,0,5,2.98,330,586,927,https://www.rottentomatoes.com/m/topaz
"
                A scatterbrained socialite hires Godfrey, a vagrant, as a family butler, but there's more to Godfrey than meets the eye.
            ","G
                    ",Gregory La Cava,NA,NA,Morrie Ryskind,Eric Hatch,Gregory La Cava,NA,"Sep 6, 1936
                        ","Sep 17, 1998
                        ","
                            95 minutes
                        ","
                        Universal Pictures
                    ","
                William Powell
            ","
                Carole Lombard
            ","
                Eugene Pallette
            ","
                Alice Brady
            ","
                Gail Patrick
            ","
                Alan Mowbray
            ","
                                My Man Godfrey
                            ",1936,"A class satire in a class of its own, My Man Godfrey's screwball comedy is as sharp as the social commentary is biting.","
                        
                        Classics, 
                        
                        Comedy, 
                        
                        Drama, 
                        
                        Romance
                        
                    ",97,32,90,7,133486,8.4,7.93,7,4.27,1390,149,791,https://www.rottentomatoes.com/m/1014536-my_man_godfrey
"
                The author of the famous late 1930's antiwar book Johnny Got His Gun wrote and directed this film adaptation. It concerns a nameless young soldier (Timothy Bottoms) in a veteran's hospital in the World War I period. The young man has had his face blown off, he is without the use of any of his senses save touch, and also has no arms or legs. He is in a coma at the beginning of the film, and his doctors doubt that he will regain consciousness. This is also what they hope. A nurse, while changing his dressings, discovers that he is awake and responsive. The unrelieved awfulness of his situation is apparent to many. However, in order to keep the ""good order"" of the military, the regular Army general commanding the hospital will not allow the boy to be seen or his family notified, nor will he permit anyone to perform a mercy killing. Interspersed with this horror are flashbacks of the youth's life before the war. ~ Clarke Fountain, Rovi
            ","PG
                    ",Dalton Trumbo,NA,NA,Dalton Trumbo,NA,NA,NA,"Aug 4, 1971
                        ","May 12, 2009
                        ","
                            100 minutes
                        ","
                        Cinemation
                    ","
                Timothy Bottoms
            ","
                Kathy Fields
            ","
                Marsha Hunt
            ","
                Jason Robards
            ","
                Donald Sutherland
            ","
                Diane Varsi
            ","
                                Johnny Got His Gun
                            ",1971,No consensus yet.,"
                        
                        Classics, 
                        
                        Drama
                        
                    ",67,21,87,5,132504,6.65,5.2,5,4.18,932,142,1058,https://www.rottentomatoes.com/m/johnny_got_his_gun
"
                In this film, a girl is found wandering in the desert in a state of complete shock. When she finally revives, she can scream out only one word: ""Them!"" As it turns out, ""Them"" are giant ants, a by-product of the radiation attending the atomic bomb tests of the era.
            ","PG
                    ",Gordon Douglas,NA,NA,Ted Sherdeman,Russell S. Hughes,NA,NA,"Jun 19, 1954
                        ","Aug 6, 2002
                        ","
                            93 minutes
                        ","
                        Warner Home Video
                    ","
                James Whitmore
            ","
                Edmund Gwenn
            ","
                Joan Weldon
            ","
                James Arness
            ","
                Onslow Stevens
            ","
                Sean McClory
            ","
                                Them!
                            ",1954,"One of the best creature features of the early atomic age, Them! features effectively menacing special effects and avoids the self-parody that would taint later monster movies.","
                        
                        Classics, 
                        
                        Horror, 
                        
                        Science Fiction & Fantasy
                        
                    ",100,27,77,8,134895,7.69,7.88,4,3.83,1306,399,1037,https://www.rottentomatoes.com/m/1021186-them
"
                Romance begins busting out all over in Rochefort. A fair is being organized, giving the town an air of excitement and effervescence. Twin sisters Delphine, a dance teacher, and Solange, a pianist and a composer, dream of making it big in the world of music. The sisters, like many in Rochefort, including a dashing American pianist, are looking for love, without realizing that their ideal partners are right before their eyes.
            ","G
                    ",Jacques Demy,NA,NA,Jacques Demy,NA,NA,NA,"Apr 11, 1968
                        ","Jan 22, 2002
                        ","
                            124 minutes
                        ","
                        Miramax-Zoe
                    ","
                Catherine Deneuve
            ","
                Franoise Dorlac
            ","
                Gene Kelly
            ","
                Danielle Darrieux
            ","
                George Chakiris
            ","
                Grover Dale
            ",The Young Girls of Rochefort (Les Demoiselles de Rochefort),NA,The Young Girls of Rochefort pays colorful homage to classic Hollywood musicals while earning its own emotionally affecting place of honor in the genre.,"
                        
                        Art House & International, 
                        
                        Classics, 
                        
                        Musical & Performing Arts, 
                        
                        Romance
                        
                    ",98,43,84,4,132767,7.97,8.77,15,4.1,620,117,534,https://www.rottentomatoes.com/m/the_young_girls_of_rochefort
"
                Offering a beautifully photographed and detailed view of Eskimo life in the Canadian north, this epic adventure stars Anthony Quinn and marks the feature film debut of Peter O'Toole. Quinn plays Inuk, an Eskimo hunter who lives the classic pastoral existence in the frozen tundra with his fellow tribes men. Trouble comes in the form of a priest who knows nothing of Innuit ways. In typical fashion, Inuk, who has gone to a white trading post with his wife, mother-in-law and a load of furs to sell, generously offers the priest the comfort of his own wife. The priest indignantly refuses, Inuk gets offended and in accordance with Eskimo law, slays him. Having broken the white man's law, Inuk and his family flee with the Mounties (one of whom is O'Toole-his normally eloquent voice dubbed into a crude pidgin, something to which the actor strongly objected) in hot pursuit. During the ensuing ordeal, the cross-cultural differences behind the problem surface and in the end, an unexpected form frontier justice is enacted.
            ","NR
                    ",Nicholas Ray,Baccio Bandini,NA,Hans Ruesch,Nicholas Ray,Franco Solinas,NA,"Jan 1, 1961
                        ","Jun 27, 2017
                        ","
                            110 minutes
                        ","
                        Paramount Pictures
                    ","
                Anthony Quinn
            ","
                Yoko Tani
            ","
                Carlo Giustini
            ","
                Marie Yang
            ","
                Peter O'Toole
            ","
                Andy Ho
            ","
                                The Savage Innocents
                            ",1961,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Classics, 
                        
                        Drama
                        
                    ",75,12,76,552,134030,7.3,6.88,4,3.55,31,10,97,https://www.rottentomatoes.com/m/the_savage_innocents
"
                In this film, wimpy millionaire Alfred Butler goes on a vacation in the mountains with his faithful valet. While communing with nature, Alfred falls in love with a beautiful young girl. Without his master's knowledge, the valet tells the girl that Alfred is boxing champion Battling Butler.
            ","NR
                    ",Buster Keaton,NA,NA,Al Boasberg,Lex Neal,Ballard MacDonald,Charles H. Smith,"Jan 1, 1926
                        ","Oct 26, 1999
                        ","
                            68 minutes
                        ","
                        MGM
                    ","
                Buster Keaton
            ","
                Sally O'Neil
            ","
                Snitz Edwards
            ","
                Francis McDonald
            ","
                Mary Crean O'Brien
            ","
                Tom Wilson
            ",Battling Butler,NA,No consensus yet.,"
                        
                        Classics, 
                        
                        Comedy, 
                        
                        Drama
                        
                    ",78,9,75,684,133480,6.39,2.5,1,3.71,91,31,97,https://www.rottentomatoes.com/m/battling_butler
"
                Somehow the titles of the films of hardcase actor Lawrence Tierney seemed to be extensions of the man's personality, as witness such films as The Devil Thumbs a Ride and Born to Kill. In the latter picture, Tierney starts the ball rolling by committing a double murder in a jealous pique. Claire Trevor discovers the bodies, but says nothing to the police; she's leaving town and doesn't want to be impeded. Trevor and Tierney meet and fall in love on the train to San Francisco. Unfortunately, Trevor is married, so Tierney shifts his affections to her sister, Audrey Long (later the wife of director Billy Wilder). He marries Long, though he keeps up his illicit affair with Trevor. When detectives investigating the murders come snooping, they are bought off by Tierney's pal Elisha Cook Jr.--who is then murdered by Tierney, who suspects that Cook is carrying on with Trevor (Cook seldom survived to the end of any of his films). When Tierney finally does face arrest, it's at the instigation of the jealous Trevor, who is shot full of holes for her trouble. Born to Kill was based on James Gunn's novel Deadlier Than the Male. ~ Hal Erickson, Rovi
            ","NR
                    ",Robert Wise,NA,NA,Richard Macaulay,Eve Greene,NA,NA,"Jan 1, 1947
                        ","Jul 5, 2005
                        ","
                            92 minutes
                        ","
                        WARNER BROTHERS PICTURES
                    ","
                Lawrence Tierney
            ","
                Audrey Long
            ","
                Claire Trevor
            ","
                Walter Slezak
            ","
                Phillip Terry
            ","
                Elisha Cook Jr.
            ",Born to Kill,NA,No consensus yet.,"
                        
                        Classics, 
                        
                        Drama
                        
                    ",80,5,75,647,134439,6.75,0,0,3.68,127,42,125,https://www.rottentomatoes.com/m/1035316-born_to_kill
"
                The Longest Day is a mammoth, all-star re-creation of the D-Day invasion, personally orchestrated by Darryl F. Zanuck. Whenever possible, the original locations were utilized, and an all-star international cast impersonates the people involved, from high-ranking officials to ordinary GIs. Each actor speaks in his or her native language with subtitles translating for the benefit of the audience (alternate ""takes"" were made of each scene with the foreign actors speaking English, but these were seen only during the first network telecast of the film in 1972). The stars are listed alphabetically, with the exception of John Wayne, who as Lt. Colonel Vandervoort gets separate billing. Others in the huge cast include Eddie Albert, Jean-Louis Barrault, Richard Burton, Red Buttons, Sean Connery, Henry Fonda, Gert Frobe, Curt Jurgens, Peter Lawford, Robert Mitchum, Kenneth More, Edmond O'Brien, Robert Ryan, Jean Servais, Rod Steiger and Robert Wagner. Paul Anka, who wrote the film's title song, shows up as an Army private. Scenes include the Allies parachuting into Ste. Mere Englise, where the paratroopers were mowed down by German bullets; a real-life sequence wherein the German and Allied troops unwittingly march side by side in the dark of night; and a spectacular three-minute overhead shot of the troops fighting and dying in the streets of Quistreham. The last major black-and-white road-show attraction, The Longest Day made millions, enough to recoup some of the cost of 20th Century Fox's concurrently produced Cleopatra. ~ Hal Erickson, Rovi
            ","G
                    ",Ken Annakin,Andrew Marton,Gerd Oswald,Cornelius Ryan,David Pursall,James Jones,Jack Seddon,"Jun 1, 1962
                        ","Nov 2, 1999
                        ","
                            179 minutes
                        ","
                        Twentieth Century Fox Home Entertainment
                    ","
                Robert Mitchum
            ","
                John Wayne
            ","
                Henry Fonda
            ","
                Richard Burton
            ","
                Eddie Albert
            ","
                Paul Anka
            ",The Longest Day,NA,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Classics, 
                        
                        Drama
                        
                    ",87,23,90,42,133481,7.8,0,3,4.25,3903,411,7491,https://www.rottentomatoes.com/m/longest_day
"
                Producer Anthony Hinds used the alias John Elder to pen the screenplay of Kiss of the Vampire. Dr. Ravna (Noel Willman), an early 20th century Bavarian, entices a British honeymooning couple, Gerald and Marianne (Clifford Evans, Jennifer Daniel), to accept his hospitality. Once ensconced in Ravna's chateau, the couple discovers with horror that Ravna, Bavaria's biggest fan of Count Dracula, is the leader of an enthusiastic vampire cult. Clifford Evans plays the Van Helsing counterpart, Professor Zimmer, a vampire expert who first tries to warn the couple out of the area and then saves Marianne. Not as horrific as the title suggests, Kiss of the Vampire concentrates on the seductive, sensual side of vampirism, especially in a surrealistic masked-ball sequence. Though it contains far less bloodletting than most Hammer productions, Kiss of the Vampire was severely cut for its American TV release (and retitled Kiss of Evil).
            ","R
                    ",Don Sharp,NA,NA,Anthony Hinds,John Elder,NA,NA,"Sep 11, 1963
                        ","Aug 5, 1998
                        ","
                            88 minutes
                        ","
                        Universal
                    ","
                Edward de Souza
            ","
                Clifford Evans
            ","
                Jennifer Daniel
            ","
                Noel Willman
            ","
                Barry Warren
            ","
                Jacqueline Wallis
            ","
                                Kiss of the Vampire
                            ",1963,No consensus yet.,"
                        
                        Classics, 
                        
                        Drama, 
                        
                        Horror
                        
                    ",83,6,63,1,132536,6.92,7.5,1,3.48,78,46,147,https://www.rottentomatoes.com/m/kiss_of_the_vampire_1963
"
                In this film, handsome young George Eastman goes to work in a relative's factory. He has a brief rendezvous with assembly-line worker Alice Tripp, but he forgets all about her when he falls for dazzling socialite Angela Vickers. Alice can't forget about him, though: she is pregnant with his child.
            ","NR
                    ",George Stevens,NA,NA,Michael Wilson,Harry Brown,NA,NA,"Aug 15, 1951
                        ","Aug 21, 2001
                        ","
                            122 minutes
                        ","
                        Paramount Pictures
                    ","
                Elizabeth Taylor
            ","
                Montgomery Clift
            ","
                Shelley Winters
            ","
                Raymond Burr
            ","
                Keefe Brasselle
            ","
                Fred Clark
            ",A Place in the Sun,NA,"Director George Stevens' stately treatment of A Place in the Sun buffs out some of the novel's nuance with blunt moralizing, but riveting performances by Montgomery Clift and company give the drama a bruising punch.","
                        
                        Classics, 
                        
                        Drama, 
                        
                        Romance
                        
                    ",77,30,84,8,133494,7.23,6.94,9,4.02,1228,228,1143,https://www.rottentomatoes.com/m/place_in_the_sun
