description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                The lives of three woman intersect in small-town America, where each is imperfectly blazing a trail. Based on stories by Maile Meloy.
            ","R (for some language)
                    ",Kelly Reichardt,NA,NA,Kelly Reichardt,NA,NA,NA,"Oct 14, 2016
                        ","Sep 19, 2017
                        ","
                            107 minutes
                        ","
                        Film Science
                    ","
                Laura Dern
            ","
                Kristen Stewart
            ","
                Michelle Williams
            ","
                James Le Gros
            ","
                Jared Harris
            ","
                Lily Gladstone
            ",Certain Women,NA,Certain Women further demonstrates writer-director Kelly Reichardt's gift for telling the stories of ordinary people with uncommon empathy and skill.,"
                        
                        Drama
                        
                    ",91,186,50,5,135407,7.79,7.9,40,3.05,408,403,4180,https://www.rottentomatoes.com/m/certain_women_2016
"
                In The Father (Apa), Hungarian filmmaker Istvan Szabo invests a great deal of poetry and warmth in a story that, in lesser hands, might have become a wallow in bathos. After his father is killed in World War II, a young Hungarian boy named Tako concocts a fantasy image of the parent he never really knew. Convincing himself of his father's unstinting bravery, the boy grows into a man (Andras Balint) who hopes to emulate his dad's heroism. During the 1956 uprising, our hero falls in love with Jewish refugee Anni (Kati Solyom). Apprised of the horrors experienced by Anni's people during the Holocaust, Tako decides to find out whether or not his father was truly the noble warrior he's imagined him to be. It turns out that the father was neither wholly good nor wholly evil, just an average Hungarian hoping to make the best of a difficult world. At long last, Tako is able to divest himself of his father's shadow and become a man on his own terms. ~ Hal Erickson, Rovi
            ","PG-13
                    ",Istvn Szab,NA,NA,Istvn Szab,NA,NA,NA,"Oct 4, 1967
                        ","Aug 3, 2004
                        ","
                            89 minutes
                        ","
                        Continental Distributing Inc.
                    ","
                Andrs Blint
            ","
                Mikls Gbor
            ","
                Klri Tolnay
            ","
                Daniel Erdelyi
            ","
                Kati Slyom
            ","
                Zsuzsa Rathonyi
            ",Father (Father: Diary of One Week),NA,No consensus yet.,"
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",100,5,77,372,134050,7,0,2,3.92,20,6,20,https://www.rottentomatoes.com/m/father-father-diary-of-one-week
"
                In this 1969 Ken Loach film, a 15-year-old named Billy Casper (played by acting newcomer David Bradley) suffers abuse both at home and at school in Yorkshire, England. At his home in the working-class section of Barnsley, Billy's brother beats him and his family neglects him. At school, most of his teachers ridicule and reject him, especially sadistic Mr. Sugden (Brian Glover. Like other downtrodden children in an outmoded social system favoring the ruling class, Billy appears headed for a menial job with no future. Consequently, he has no motivation and nothing to look forward to, until the day he finds a kestrel -- a European falcon with the ability to hover against strong wind. The bird, a fledgling, is akin to the boy, who must withstand winds of his own. It is not surprising, therefore, that Billy finds meaning in befriending and caring for the baby kestrel. He raises, nurtures, and trains the falcon, whom he calls ""Kes."" Its development gives him hope that he too will one day develop, that he too will gain the skills to fly against the wind. Then Billy opts to spend his brother's track money on food for Kes, which sets the stage for a grave disagreement betwen the young men and an unhappy outcome. ~ Mike Cummings, Rovi
            ","PG-13 (for language, nudity and some teen smoking)
                    ",Ken Loach,NA,NA,Ken Loach,Tony Garnett,Barry Hines,NA,"Jan 1, 1969
                        ","Apr 19, 2011
                        ","
                            112 minutes
                        ","
                        Image Entertainment
                    ","
                Lynne Perrie
            ","
                David Bradley (II)
            ","
                Freddie Fletcher
            ","
                Lynne Perrie
            ","
                Colin Welland
            ","
                Brian Glover
            ","
                                Kes
                            ",1969,"A harrowing coming of age tale told simply and truly, Kes is a spare and richly humane tribute to the small pockets of beauty to be found in an oppressive world.","
                        
                        Art House & International, 
                        
                        Classics, 
                        
                        Drama
                        
                    ",100,31,91,9,132968,9.56,9.43,11,4.33,1910,185,2011,https://www.rottentomatoes.com/m/kes
"
                Set in Spain, this is a generational story of three women: a good mother who is desperately in love with a man who is far from being a saint; a young mother carrying a hard life upon her shoulders; and an illegal hairdresser whose shop is the meeting point for all the neighborhood gossips.
            ","R (for some sexual content and language)
                    ",Pedro Almodvar,NA,NA,Pedro Almodvar,NA,NA,NA,"Nov 3, 2006
                        ","Apr 3, 2007
                        ","
                            120 minutes
                        ","
                        Sony Pictures Classics
                    ","
                Penelope Cruz
            ","
                Carmen Maura
            ","
                Lola Dueas
            ","
                Blanca Portillo
            ","
                Blanca Portilla
            ","
                Yohana Cobo
            ","
                                Volver
                            ",2006,"Volver catches director Pedro Almodovar and star Penelope Cruz at the peak of their respective powers, in service of a layered, thought-provoking film.","
                        
                        Art House & International, 
                        
                        Comedy, 
                        
                        Drama
                        
                    ",91,171,89,71,141401,7.82,7.84,51,4.12,19606,2488,13049,https://www.rottentomatoes.com/m/volver
"
                Two soldiers hide out in the woods from the invading army. They find a gold bar hidden in a tree, and the mood changes from brutality to humor.
            ","NR
                    ",Akira Kurosawa,NA,NA,Hideo Oguni,Shinobu Hashimoto,Akira Kurosawa,Ryuzo Kikushima,"Jan 1, 1958
                        ","Jun 28, 2010
                        ","
                            139 minutes
                        ","
                        Media Home Entertainment
                    ","
                Toshiro Mifune
            ","
                Misa Uehara
            ","
                Minoru Chiaki
            ","
                Kamatari Fujiwara
            ","
                Susumu Fujita
            ","
                Takashi Shimura
            ",The Hidden Fortress (kakushi-toride No San-akunin),NA,"A feudal adventure told from an eccentric perspective, The Hidden Fortress is among Akira Kurosawa's most purely enjoyable epics.","
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Classics, 
                        
                        Drama
                        
                    ",97,31,93,17,132699,8.55,8.67,4,4.26,2906,229,2934,https://www.rottentomatoes.com/m/1009583-hidden_fortress
"
                After his son is brutally beaten outside a nightclub, a surgeon takes the law into his own hands and seeks vengeance against the perpetrators.
            ","NR
                    ",Miguel ngel Vivas,NA,NA,Alberto Marini,NA,NA,NA,"Mar 1, 2019
                        ",NA,NA,"
                        Netflix
                    ","
                Jos Coronado
            ","
                Ana Wagener
            ","
                Asia Ortega
            ","
                Pol Monen
            ","
                Ester Expsito
            ",NA,Your Son (Tu Hijo),NA,No consensus yet.,"
                        
                        Drama
                        
                    ",100,5,62,48,131969,6.33,0,0,3.37,16,10,34,https://www.rottentomatoes.com/m/your_son
"
                The Southerner was Jean Renoir's favorite of his American films. Shot on location, the film stars Zachary Scott as a sharecropper who yearns for a place of his own. On a tiny, scraggly patch of land, Scott tries to make a go of things, along with his wife Betty Field, his grandmother Beulah Bondi, and his children Jean Vanderwilt (aka Bunny Sunshine) and Jay Gilpin. Though a proud, independent man, Scott is forced by circumstance to seek help from neighboring farmer J. Carroll Naish, whose life experience have left him bitter and vituperative. The two men become enemies, but are reunited by their mutual love of fishing. Scott suffers a setback when a rainstorm destroys his cotton crop. He is about to go wearily back to working for others (specifically, factory owner Charles Kemper, who also narrates the film) when he is convinced by his never-say-die family to persevere on his own. Director Jean Renoir also wrote the script for The Southerner--in fluent English rather than French, as mental exercise. Told at a leisurely, unhurried pace, the film is the one American Renoir effort that comes closest to his ""slice of life"" dramas of the 1930s. The Southerner was not a box office hit, but did win the effusive praise of critics, not to mention the Venice Film Festival ""best picture"" award.
            ","NR
                    ",Jean Renoir,NA,NA,Jean Renoir,Hugo Butler,William Faulkner,Nunnally Johnson,"Jan 1, 1945
                        ","Jul 6, 1999
                        ","
                            91 minutes
                        ","
                        VCI
                    ","
                Zachary Scott
            ","
                Betty Field
            ","
                Beulah Bondi
            ","
                Jean Vanderwilt
            ","
                Jay Gilpin
            ","
                Percy Kilbride
            ",The Southerner,NA,No consensus yet.,"
                        
                        Classics, 
                        
                        Drama
                        
                    ",91,11,79,872,132923,8,6.12,4,3.75,75,20,115,https://www.rottentomatoes.com/m/southerner
"
                From director Allan Dwan, Sands of Iwo Jima is a drama set during the Second World War and follows John Stryker (John Wayne), a relentlessly tough Marine sergeant as he trains a squad of nave, rebellious recruits at a New Zealand military station in 1943. Recently left by his wife, Stryker has become exceedingly bitter and tough, leading his contemporaries to question his behavior and his men to dislike him for his harsh training methods. The wisdom of Stryker's ways, however, is demonstrated when they fight in the legendary battle of Iwo Jima. Using footage of real WWII battles, the Sands of Iwo Jima features John Wayne's first Academy Award-nominated performance, though Broderick Crawford ultimately won the 1950 Best Actor prize. ~ Matthew Tobey, Rovi
            ","NR
                    ",Allan Dwan,NA,NA,Harry Brown,James Edward Grant,NA,NA,"Mar 1, 1950
                        ","May 22, 2001
                        ","
                            109 minutes
                        ","
                        Republic Pictures Home Video
                    ","
                John Wayne
            ","
                John Agar
            ","
                Wally Cassell
            ","
                Adele Mara
            ","
                Forrest Tucker
            ","
                Richard Webb
            ","
                                Sands of Iwo Jima
                            ",1950,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Classics, 
                        
                        Drama
                        
                    ",100,10,80,9,132536,7.4,0,0,3.97,816,207,1545,https://www.rottentomatoes.com/m/sands_of_iwo_jima
"
                When mysterious spacecraft touch down across the globe, an elite team--lead by expert linguist Louise Banks (Amy Adams)--are brought together to investigate. As mankind teeters on the verge of global war, Banks and the team race against time for answers--and to find them, she will take a chance that could threaten her life, and quite possibly humanity.
            ","PG-13 (for brief strong language)
                    ",Denis Villeneuve,NA,NA,Eric Heisserer,NA,NA,NA,"Nov 11, 2016
                        ","Feb 14, 2017
                        ","
                            116 minutes
                        ","
                        21 Laps Entertainment
                    ","
                Amy Adams
            ","
                Jeremy Renner
            ","
                Forest Whitaker
            ","
                Michael Stuhlbarg
            ","
                Mark O'Brien (IX) 
            ","
                Tzi Ma
            ",Arrival,NA,Arrival delivers a must-see experience for fans of thinking person's sci-fi that anchors its heady themes with genuinely affecting emotion and a terrific performance from Amy Adams.,"
                        
                        Drama, 
                        
                        Mystery & Suspense, 
                        
                        Science Fiction & Fantasy
                        
                    ",94,418,82,82,141919,8.41,7.77,59,4.02,35645,7825,36423,https://www.rottentomatoes.com/m/arrival_2016
"
                With nuclear war looming, a military expert in underwater acoustics strives to prove things aren't as they seem -- or sound -- using only his ears.
            ","NR
                    ",Antonin Baudry,NA,NA,Antonin Baudry,NA,NA,NA,"Jun 20, 2019
                        ","
                            116 minutes
                        ",NA,"
                        Netflix
                    ","
                Omar Sy
            ","
                Reda Kateb
            ","
                Mathieu Kassovitz
            ","
                Franois Civil
            ","
                Etienne Guillou-Kervern
            ","
                Nicolas Van Beveren
            ","
                                The Wolf's Call (Le chant du loup)
                            ",2019,The Wolf's Call  is a classic submarine action-thriller that will keep you at the edge of your seat.,"
                        
                        Drama
                        
                    ",92,12,69,121,135453,6.22,6,3,3.76,84,37,51,https://www.rottentomatoes.com/m/the_wolfs_call
"
                In this second of his saga of four seasons, writer/director Eric Rohmer takes a look at the romantic escapades of a youthful hairdresser, who tries to balance her time between two lovers, her boss and a librarian.
            ","G
                    ",Eric Rohmer,NA,NA,NA,NA,NA,NA,"Jan 29, 1992
                        ","Feb 9, 2015
                        ","
                            114 minutes
                        ","
                        Big World Pictures
                    ","
                Charlotte Vry
            ","
                Frederic van den Driessche
            ","
                Michael Voletti
            ","
                Herv Furic
            ","
                Ava Loraschi
            ","
                Christiane Desbois
            ",Conte d'hiver (A Tale of Winter),NA,No consensus yet.,"
                        
                        Drama, 
                        
                        Romance
                        
                    ",95,20,80,613,135437,7.9,8.75,10,3.89,90,22,242,https://www.rottentomatoes.com/m/conte_dhiver_1992
"
                Based on the Stephen King short story The Body, Rob Reiner's easygoing nostalgia piece is set in Castle Rock, OR, over Labor Day weekend, 1959. A quartet of boys, inseparable friends all, set out in search of a dead body that one of the boys overhears his brother talking about. The foursome consists of intellectual Gordie (Wil Wheaton), born leader Chris (River Phoenix), emotionally disturbed Teddy (Corey Feldman), and chubby hanger-on Vern (Jerry O'Connell). The boys' adventures en route to the elusive body are colored by the personal pressures brought to bear on all of them by the adult world. Richard Dreyfuss, playing the grown-up Gordie, narrates the film, while Kiefer Sutherland dominates every scene he's in as a brutish high-school bully. ~ Hal Erickson, Rovi
            ","R (adult situations/language, violence)
                    ",Rob Reiner,NA,NA,Bruce A. Evans,Raynold Gideon,NA,NA,"Aug 8, 1986
                        ","Aug 29, 2000
                        ","
                            87 minutes
                        ","
                        MCA Universal Home Video
                    ","
                Wil Wheaton
            ","
                River Phoenix
            ","
                Corey Feldman
            ","
                Jerry O'Connell
            ","
                Kiefer Sutherland
            ","
                Richard Dreyfuss
            ",Stand by Me,NA,"Stand By Me is a wise, nostalgic movie with a weird streak that captures both Stephen King's voice and the trials of growing up.","
                        
                        Action & Adventure, 
                        
                        Drama
                        
                    ",91,55,94,270,141732,7.98,7.64,10,4.41,37374,2187,29167,https://www.rottentomatoes.com/m/stand_by_me_1986
"
                Black Orpheus (Orfeu Negro) is literally what its title suggests: a retelling of the ""Orpheus and Eurydice"" legend enacted by black performers. This time the setting is the annual Carnival in Rio de Janeiro. Orpheus (Breno Mello) is a streetcar conductor; Eurydice (Marpessa Dawn) has just jilted her lover and is attempting to escape his wrath. Orpheus himself falls in love with Eurydice, whereupon her ex-lover, disguised as the Angel of Death shows up and kills Eurydice. To reclaim his lost love, Orpheus enters ""Hell"" (the Rio morgue) and uses supernatural methods to revive the dead girl. A multi-award winner on the international film scene, Black Orpheus features a samba musical score by Luiz Bonfa and Antonio Carlos Jobim.
            ","PG
                    ",Marcel Camus,NA,NA,Vinicius de Moraes,Marcel Camus,Jacques Viot,NA,"Dec 21, 1959
                        ","Jun 8, 1999
                        ","
                            120 minutes
                        ","
                        GAGA Communications
                    ","
                Adhemar Feirrera Da Silva
            ","
                Alexandro Constantino
            ","
                Waldetar De Souza
            ","
                Jorge Dos Santos
            ","
                Aurino Cassiano
            ","
                Marcel Camus
            ",Black Orpheus (Orfeu Negro),NA,"Colorful, atmospheric, and infections, Black Orpheus takes an ancient tale and makes it fresh anew, thanks in part to its bewitching bossa nova soundtrack.","
                        
                        Art House & International, 
                        
                        Classics, 
                        
                        Comedy, 
                        
                        Drama, 
                        
                        Musical & Performing Arts, 
                        
                        Science Fiction & Fantasy, 
                        
                        Romance
                        
                    ",89,38,87,6,132722,7.82,7.29,14,4.13,930,141,993,https://www.rottentomatoes.com/m/black_orpheus
"
                Toshir Mifune is unforgettable as Kingo Gondo, a wealthy industrialist whose family becomes the target of a cold-blooded kidnapper in Akira Kurosawa's highly influential High and Low (Tengoku to jigoku).
            ","NR
                    ",Akira Kurosawa,NA,NA,Akira Kurosawa,Hideo Oguni,Eijiro Hisaita,Ryuzo Kikushima,"Nov 26, 1963
                        ","Oct 13, 1998
                        ","
                            143 minutes
                        ","
                        Criterion Collection
                    ","
                Toshiro Mifune
            ","
                Tatsuya Nakadai
            ","
                Kyoko Kagawa
            ","
                Tatsuya Mihashi
            ","
                Yutaka Sada
            ","
                Kenjiro Ishiyama
            ","
                                High and Low (Tengoku to jigoku)
                            ",1963,No consensus yet.,"
                        
                        Drama
                        
                    ",94,18,96,8,132489,7.91,8.33,3,4.44,1881,86,1190,https://www.rottentomatoes.com/m/high_and_low
